total_cup_points,species,country_of_origin,altitude_mean_meters,processing_method,aroma,flavor,aftertaste,acidity,body,balance,region
90,Arabica,Ethiopia,2075.0,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,guji-hambela
89,Arabica,Ethiopia,2075.0,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,guji-hambela
89,Arabica,Ethiopia,2000.0,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,oromia
88,Arabica,Ethiopia,2075.0,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,guji-hambela
88,Arabica,Ethiopia,1635.0,Washed / Wet,8.25,8.33,8.5,8.42,8.33,8.5,oromia
88,Arabica,Ethiopia,1635.0,Washed / Wet,8.67,8.67,8.58,8.42,8.33,8.42,oromiya
88,Arabica,Ethiopia,1822.5,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,"snnp/kaffa zone,gimbowereda"
88,Arabica,Ethiopia,1905.0,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,oromia
87,Arabica,United States,1872.0,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,antioquia
87,Arabica,United States,1943.0,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,antioquia
87,Arabica,United States (Hawaii),609.6,Washed / Wet,8.33,8.42,8.08,8.25,8.25,8.0,kona
87,Arabica,Ethiopia,1635.0,Washed / Wet,8.25,8.33,8.5,8.25,8.58,8.75,oromiya
87,Arabica,United States,2080.0,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,antioquia
87,Arabica,Indonesia,1500.0,Washed / Wet,8.33,8.25,7.83,7.75,8.5,8.42,sulawesi
87,Arabica,Ethiopia,1310.64,Washed / Wet,8.17,8.33,8.25,8.33,8.42,8.33,yirgacheffe
87,Arabica,China,1450.0,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,yunnan
87,Arabica,Ethiopia,1850.0,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,gedio
87,Arabica,United States,2019.0,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,antioquia
87,Arabica,Costa Rica,1300.0,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,san ramon
87,Arabica,Mexico,1320.0,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,xalapa
87,Arabica,United States,2112.0,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,antioquia
87,Arabica,Ethiopia,1310.64,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,sidamo
86,Arabica,Brazil,1250.0,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,south of minas
86,Arabica,Ethiopia,1310.64,Washed / Wet,7.83,8.25,8.08,8.17,8.17,8.17,sidamo
86,Arabica,Uganda,1950.0,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,kapchorwa eastern
86,Arabica,Honduras,1400.0,Washed / Wet,8.17,8.08,8.08,8.0,8.08,8.0,comayagua
86,Arabica,Taiwan,1200.0,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,"leye, alishan township, chiayi county"
86,Arabica,Brazil,1300.0,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,vale da grama
86,Arabica,Costa Rica,1300.0,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,west and central valley
86,Arabica,Ethiopia,1775.0,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,oromia
86,Arabica,Kenya,1800.0,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,muranga
86,Arabica,United States (Hawaii),1310.64,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,kona
86,Arabica,United States (Hawaii),1310.64,Washed / Wet,8.25,8.42,8.08,7.75,7.67,7.83,kona
86,Arabica,Ethiopia,1310.64,Washed / Wet,7.92,7.75,8.08,8.08,8.08,8.17,yirgacheffe
86,Arabica,United States,1941.0,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,antioquia
86,Arabica,Thailand,1300.0,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,chiang rai
