state,type,year,category,total_enrollment,tuition_cost,enrollment
Alabama,Private,1985,American Indian / Alaska Native,142572,13256.0,708
Alabama,Private,1985,Asian,142572,13256.0,1434
Alabama,Private,1985,Black,142572,13256.0,67014
Alabama,Private,1985,Hispanic,142572,13256.0,3528
Alabama,Private,1985,Native Hawaiian / Pacific Islander,142572,13256.0,54
Alabama,Private,1985,Non-Resident Foreign,142572,13256.0,2796
Alabama,Private,1985,Total Minority,142572,13256.0,74118
Alabama,Private,1985,Two Or More Races,142572,13256.0,1380
Alabama,Private,1985,White,142572,13256.0,58098
Alabama,Private,1995,American Indian / Alaska Native,142572,19872.0,708
Alabama,Private,1995,Asian,142572,19872.0,1434
Alabama,Private,1995,Black,142572,19872.0,67014
Alabama,Private,1995,Hispanic,142572,19872.0,3528
Alabama,Private,1995,Native Hawaiian / Pacific Islander,142572,19872.0,54
Alabama,Private,1995,Non-Resident Foreign,142572,19872.0,2796
Alabama,Private,1995,Total Minority,142572,19872.0,74118
Alabama,Private,1995,Two Or More Races,142572,19872.0,1380
Alabama,Private,1995,White,142572,19872.0,58098
Alabama,Private,2000,American Indian / Alaska Native,142572,23117.833333333332,708
Alabama,Private,2000,Asian,142572,23117.833333333332,1434
Alabama,Private,2000,Black,142572,23117.833333333332,67014
Alabama,Private,2000,Hispanic,142572,23117.833333333332,3528
Alabama,Private,2000,Native Hawaiian / Pacific Islander,142572,23117.833333333332,54
Alabama,Private,2000,Non-Resident Foreign,142572,23117.833333333332,2796
Alabama,Private,2000,Total Minority,142572,23117.833333333332,74118
Alabama,Private,2000,Two Or More Races,142572,23117.833333333332,1380
Alabama,Private,2000,White,142572,23117.833333333332,58098
Alabama,Private,2001,American Indian / Alaska Native,142572,24064.166666666668,708
Alabama,Private,2001,Asian,142572,24064.166666666668,1434
Alabama,Private,2001,Black,142572,24064.166666666668,67014
Alabama,Private,2001,Hispanic,142572,24064.166666666668,3528
Alabama,Private,2001,Native Hawaiian / Pacific Islander,142572,24064.166666666668,54
Alabama,Private,2001,Non-Resident Foreign,142572,24064.166666666668,2796
Alabama,Private,2001,Total Minority,142572,24064.166666666668,74118
Alabama,Private,2001,Two Or More Races,142572,24064.166666666668,1380
Alabama,Private,2001,White,142572,24064.166666666668,58098
Alabama,Private,2002,American Indian / Alaska Native,142572,25222.166666666668,708
Alabama,Private,2002,Asian,142572,25222.166666666668,1434
Alabama,Private,2002,Black,142572,25222.166666666668,67014
Alabama,Private,2002,Hispanic,142572,25222.166666666668,3528
Alabama,Private,2002,Native Hawaiian / Pacific Islander,142572,25222.166666666668,54
Alabama,Private,2002,Non-Resident Foreign,142572,25222.166666666668,2796
Alabama,Private,2002,Total Minority,142572,25222.166666666668,74118
Alabama,Private,2002,Two Or More Races,142572,25222.166666666668,1380
Alabama,Private,2002,White,142572,25222.166666666668,58098
Alabama,Private,2003,American Indian / Alaska Native,142572,26592.333333333332,708
Alabama,Private,2003,Asian,142572,26592.333333333332,1434
Alabama,Private,2003,Black,142572,26592.333333333332,67014
Alabama,Private,2003,Hispanic,142572,26592.333333333332,3528
Alabama,Private,2003,Native Hawaiian / Pacific Islander,142572,26592.333333333332,54
Alabama,Private,2003,Non-Resident Foreign,142572,26592.333333333332,2796
Alabama,Private,2003,Total Minority,142572,26592.333333333332,74118
Alabama,Private,2003,Two Or More Races,142572,26592.333333333332,1380
Alabama,Private,2003,White,142572,26592.333333333332,58098
Alabama,Private,2004,American Indian / Alaska Native,142572,27331.5,708
Alabama,Private,2004,Asian,142572,27331.5,1434
Alabama,Private,2004,Black,142572,27331.5,67014
Alabama,Private,2004,Hispanic,142572,27331.5,3528
Alabama,Private,2004,Native Hawaiian / Pacific Islander,142572,27331.5,54
Alabama,Private,2004,Non-Resident Foreign,142572,27331.5,2796
